Step,episode_reward
2226,4.0
2231,5.0
2235,4.0
2239,4.0
2243,4.0
2247,4.0
2251,4.0
2255,4.0
2259,4.0
2263,4.0
2267,4.0
2271,4.0
2275,4.0
2279,4.0
2283,4.0
2287,4.0
2291,4.0
2295,4.0
2299,4.0
2303,4.0
2307,4.0
2311,4.0
2315,4.0
2319,4.0
2323,4.0
2327,4.0
2331,4.0
2335,4.0
2339,4.0
2343,4.0
2347,4.0
2351,4.0
2355,4.0
2359,4.0
2363,4.0
2367,4.0
2371,4.0
2375,4.0
2379,4.0
2383,4.0
2387,4.0
2391,4.0
2395,4.0
2399,4.0
2403,4.0
2407,4.0
2411,4.0
2415,4.0
2419,4.0
2423,4.0
2427,4.0
2431,4.0
2435,4.0
2439,4.0
2443,4.0
2447,4.0
2451,4.0
2455,4.0
2459,4.0
2463,4.0
2467,4.0
2471,4.0
2475,4.0
2479,4.0
2483,4.0
2487,4.0
2491,4.0
2495,4.0
2499,4.0
2503,4.0
2507,4.0
2511,4.0
2515,4.0
2519,4.0
2523,4.0
2527,4.0
2531,4.0
2535,4.0
2539,4.0
2544,5.0
2549,5.0
2554,5.0
2558,4.0
2562,4.0
2566,4.0
2570,4.0
2574,4.0
2578,4.0
2582,4.0
2586,4.0
2590,4.0
2594,4.0
2598,4.0
2627,29.0
2639,12.0
2650,11.0
2662,12.0
2673,11.0
2684,11.0
2697,13.0
2708,11.0
2720,12.0
2746,26.0
2770,24.0
2817,47.0
2860,43.0
2899,39.0
2928,29.0
2957,29.0
2985,28.0
3014,29.0
3044,30.0
3073,29.0
3102,29.0
3136,34.0
3170,34.0
3203,33.0
3235,32.0
3279,44.0
3320,41.0
3356,36.0
3397,41.0
3443,46.0
3486,43.0
3529,43.0
3567,38.0
3608,41.0
3651,43.0
3695,44.0
3736,41.0
3778,42.0
3820,42.0
3862,42.0
3904,42.0
3947,43.0
3992,45.0
4038,46.0
4085,47.0
4128,43.0
4174,46.0
4222,48.0
4273,51.0
4322,49.0
4369,47.0
4413,44.0
4455,42.0
4496,41.0
4538,42.0
4581,43.0
4625,44.0
4667,42.0
4713,46.0
4762,49.0
4808,46.0
4853,45.0
4898,45.0
4947,49.0
4995,48.0
5040,45.0
5090,50.0
5140,50.0
5189,49.0
5243,54.0
5297,54.0
5343,46.0
5393,50.0
5446,53.0
5494,48.0
5543,49.0
5594,51.0
5649,55.0
5706,57.0
5758,52.0
5816,58.0
5877,61.0
5933,56.0
5981,48.0
6036,55.0
6091,55.0
6141,50.0
6190,49.0
6242,52.0
6296,54.0
6351,55.0
6413,62.0
6466,53.0
6521,55.0
6572,51.0
6622,50.0
6677,55.0
6728,51.0
6781,53.0
6830,49.0
6878,48.0
6931,53.0
6989,58.0
7042,53.0
7093,51.0
7144,51.0
7194,50.0
7245,51.0
7296,51.0
7346,50.0
7394,48.0
7442,48.0
7490,48.0
7540,50.0
7591,51.0
7641,50.0
7696,55.0
7744,48.0
7791,47.0
7843,52.0
7892,49.0
7947,55.0
8001,54.0
8050,49.0
8101,51.0
8155,54.0
8210,55.0
8263,53.0
8313,50.0
8369,56.0
8421,52.0
8469,48.0
8518,49.0
8571,53.0
8623,52.0
8675,52.0
8727,52.0
8776,49.0
8825,49.0
8873,48.0
8920,47.0
8969,49.0
9031,62.0
9089,58.0
9145,56.0
9202,57.0
9262,60.0
9316,54.0
9365,49.0
9412,47.0
9466,54.0
9516,50.0
9569,53.0
9619,50.0
9675,56.0
9728,53.0
9782,54.0
9846,64.0
9916,70.0
9974,58.0
10035,61.0
10097,62.0
10156,59.0
10256,100.0
10318,62.0
10377,59.0
10474,97.0
10545,71.0
10623,78.0
10695,72.0
10754,59.0
10826,72.0
10893,67.0
10965,72.0
11029,64.0
11092,63.0
11188,96.0
11257,69.0
11319,62.0
11389,70.0
11456,67.0
11515,59.0
11589,74.0
11650,61.0
11726,76.0
11793,67.0
11854,61.0
11915,61.0
11984,69.0
12043,59.0
12106,63.0
12183,77.0
12271,88.0
12317,46.0
12366,49.0
12413,47.0
12471,58.0
12539,68.0
12606,67.0
12666,60.0
12719,53.0
12762,43.0
12815,53.0
12872,57.0
12926,54.0
12994,68.0
13049,55.0
13104,55.0
13162,58.0
13214,52.0
13270,56.0
13320,50.0
13368,48.0
13421,53.0
13483,62.0
13545,62.0
13596,51.0
13644,48.0
13694,50.0
13750,56.0
13807,57.0
13870,63.0
13918,48.0
13972,54.0
14028,56.0
14084,56.0
14136,52.0
14191,55.0
14244,53.0
14299,55.0
14350,51.0
14403,53.0
14451,48.0
14502,51.0
14555,53.0
14612,57.0
14665,53.0
14717,52.0
14768,51.0
14822,54.0
14873,51.0
14925,52.0
14978,53.0
15031,53.0
15081,50.0
15135,54.0
15193,58.0
15248,55.0
15302,54.0
15356,54.0
15404,48.0
15453,49.0
15502,49.0
15551,49.0
15603,52.0
15653,50.0
15705,52.0
15756,51.0
15808,52.0
15859,51.0
15911,52.0
15963,52.0
16015,52.0
16069,54.0
16118,49.0
16168,50.0
16215,47.0
16264,49.0
16318,54.0
16371,53.0
16427,56.0
16480,53.0
16533,53.0
16587,54.0
16643,56.0
16697,54.0
16755,58.0
16811,56.0
16867,56.0
16924,57.0
16983,59.0
17041,58.0
17099,58.0
17156,57.0
17219,63.0
17290,71.0
17359,69.0
17425,66.0
17490,65.0
17552,62.0
17613,61.0
17672,59.0
17736,64.0
17804,68.0
17872,68.0
17948,76.0
18013,65.0
18080,67.0
18142,62.0
18213,71.0
18292,79.0
18368,76.0
18444,76.0
18526,82.0
18600,74.0
18672,72.0
18755,83.0
18834,79.0
18911,77.0
18987,76.0
19068,81.0
19157,89.0
19237,80.0
19317,80.0
19403,86.0
19472,69.0
19535,63.0
19620,85.0
19701,81.0
19792,91.0
19873,81.0
19955,82.0
20026,71.0
20115,89.0
20192,77.0
20261,69.0
20345,84.0
20429,84.0
20534,105.0
20627,93.0
20728,101.0
20815,87.0
20906,91.0
21000,94.0
21102,102.0
21194,92.0
21301,107.0
21455,154.0
21585,130.0
21680,95.0
21788,108.0
21923,135.0
22009,86.0
22126,117.0
22225,99.0
22329,104.0
22439,110.0
22550,111.0
22682,132.0
22800,118.0
22917,117.0
23034,117.0
23152,118.0
23249,97.0
23372,123.0
23508,136.0
23635,127.0
23817,182.0
23973,156.0
24278,305.0
24427,149.0
24612,185.0
24805,193.0
25006,201.0
25175,169.0
25601,426.0
25899,298.0
26899,1000.0
27055,156.0
28055,1000.0
29055,1000.0
30055,1000.0
31055,1000.0
32055,1000.0
33055,1000.0
34055,1000.0
35055,1000.0
36055,1000.0
37055,1000.0
38055,1000.0
39055,1000.0
40055,1000.0
41055,1000.0
42055,1000.0
43055,1000.0
44055,1000.0
45055,1000.0
46055,1000.0
47055,1000.0
48055,1000.0
49055,1000.0
50055,1000.0
51055,1000.0
52055,1000.0
53055,1000.0
54055,1000.0
55055,1000.0
56055,1000.0
57055,1000.0
58055,1000.0
59055,1000.0
60055,1000.0
61055,1000.0
62055,1000.0
63055,1000.0
64055,1000.0
64867,812.0
65082,215.0
66082,1000.0
67082,1000.0
68082,1000.0
69082,1000.0
70082,1000.0
71082,1000.0
72082,1000.0
73082,1000.0
74082,1000.0
75082,1000.0
76082,1000.0
77082,1000.0
78082,1000.0
79082,1000.0
80082,1000.0
81082,1000.0
82082,1000.0
83082,1000.0
84082,1000.0
85082,1000.0
86082,1000.0
87082,1000.0
88082,1000.0
89082,1000.0
90082,1000.0
90253,171.0
91253,1000.0
91597,344.0
91717,120.0
91836,119.0
91931,95.0
92027,96.0
92151,124.0
92769,618.0
93769,1000.0
94769,1000.0
95769,1000.0
96769,1000.0
97769,1000.0
98769,1000.0
99769,1000.0
100769,1000.0
101769,1000.0
102769,1000.0
103769,1000.0
104769,1000.0
105769,1000.0
106769,1000.0
107769,1000.0
107923,154.0
108125,202.0
108280,155.0
