Step,episode_reward
1000,-394.2720746019534
2000,-478.98545196110115
3000,-518.9773391772226
4000,-542.2585005852799
5000,-480.95328319068096
6000,-398.4072464763821
7000,-119.96912876101138
8000,-134.56672053172565
9000,-106.64759264827421
10000,-124.27920117426218
11000,25.646255370479643
12000,-212.29725015454
13000,48.92638173661613
14000,38.32523324822507
15000,72.21035988011053
16000,154.92770521452093
17000,527.4941843110613
18000,524.5678246034737
19000,693.2978220653043
20000,295.47712220991656
21000,590.8669544258868
22000,644.0435208764095
23000,350.76412476774993
24000,611.4498325693029
25000,677.0346883280574
26000,751.382154029033
27000,378.2018351765492
28000,573.1033748377173
29000,740.4938460018694
30000,801.5389197688485
31000,677.6921209404044
32000,912.5347002434742
33000,760.2644371995468
34000,673.2858828986123
35000,909.4110036702455
36000,867.6249928379582
37000,1124.0343466479394
38000,1319.0644435472102
39000,1124.8439824907234
40000,1331.6203429152458
41000,1351.0714954631792
42000,961.2294738299893
43000,1362.7368166451463
44000,1356.271086243346
45000,952.372049075403
46000,1407.4454783450599
47000,1321.8809885380465
48000,1157.6446310651909
49000,420.1358898490969
50000,686.4308030613977
51000,1406.5515993248089
52000,925.1617553050593
53000,1075.389771384815
54000,1383.500819060483
55000,1075.6107400117326
56000,1096.718753731113
57000,1616.2467741064956
58000,648.7791469025485
59000,1440.4817449990367
60000,1897.5421566310029
61000,794.464907911304
62000,281.18525283675905
63000,1225.956478971094
64000,1852.5646466856028
65000,2051.7196047574894
66000,1278.6092593592155
67000,2112.9398059714968
68000,2130.5334646045862
69000,1810.2662397265105
70000,1996.8787903218638
71000,2379.1883761948075
72000,2721.6572117686806
73000,2218.095188500583
74000,2722.8813486779545
75000,2428.126113038858
76000,2951.987089347042
77000,2660.588680130584
78000,2772.6333126988743
79000,2828.2587743061777
80000,2985.620912745128
81000,3069.3328060095073
82000,3131.156011462578
83000,2915.5798378085747
84000,3373.4685150515725
85000,3152.860894438456
86000,3386.8578893955505
87000,3170.3110256841715
88000,3350.0930622814326
89000,3543.6837551041963
90000,3134.5963636337037
91000,3393.1622472101494
92000,3671.490930573844
93000,3411.1506747401336
94000,3598.6493961467877
95000,3541.2063543365693
96000,3456.8723205955403
97000,3666.5807365051005
98000,3863.8169261145204
99000,3912.3051126511177
100000,3778.2454260530967
101000,3829.13960309139
102000,3724.6417220645844
103000,3690.526905791036
104000,4072.6562164450174
105000,3953.2334073698285
106000,3946.1985136708636
107000,3958.5235107628037
108000,3906.831285842796
109000,4056.089674364483
110000,3797.4141543014343
111000,4096.029805582594
112000,3987.9421537918993
113000,4045.2975252756787
114000,4095.6460089906313
115000,3809.878038458178
116000,3322.7299917911123
117000,3638.309242128943
118000,4016.893447018192
119000,3863.1742968368762
120000,3986.3244860118984
121000,4239.000364931709
122000,4223.614866693129
123000,4141.86500314277
124000,4322.577396038158
125000,4113.531240415769
126000,4046.836047640647
127000,4163.632266911259
128000,4193.963798976277
129000,4097.330196030462
130000,4309.280653923959
131000,4278.014647615223
132000,4139.649177085025
133000,4128.388456947125
134000,4289.002710325638
135000,4097.96494755219
136000,4255.433951306666
137000,4263.243989658057
138000,4179.434523896673
139000,4032.169008749751
140000,4324.676749667413
141000,4314.872152499453
142000,4449.622487509106
143000,4178.267858622338
144000,4308.666851964013
145000,4541.867549149355
146000,4529.551035092274
147000,4501.243617531864
148000,4531.029727029016
149000,4610.632041421497
150000,4582.597029006203
151000,4715.001112817198
152000,4659.079092595239
153000,4583.674515260461
154000,4661.9663302574945
155000,4610.312364016289
156000,4758.79660639843
157000,4762.210038573887
158000,4868.778941468695
159000,4853.125400812797
160000,4844.942338511001
161000,4620.791516843093
162000,4720.324799685048
163000,4644.96987238794
164000,3752.6448209030705
165000,4793.949728749967
166000,4679.423866459487
167000,4786.552398000575
168000,4894.751465852764
169000,4981.903789924108
170000,4674.69253416728
171000,5111.829957468108
172000,4821.561579184081
173000,5074.37095634169
174000,5079.414807249764
175000,4711.112225330585
176000,4839.083412668932
177000,4876.305035087715
178000,5007.608747055715
179000,4898.294647520499
180000,5059.118145947286
181000,5252.876708161029
182000,5082.8903204070075
183000,5046.805145133635
184000,5014.88967905752
185000,4993.795171381894
186000,5227.974407410501
187000,5112.533009920224
188000,5174.966425509132
189000,5260.634655311171
190000,5175.874897090591
191000,5110.128350513654
192000,5106.461665034147
193000,5209.777229645942
194000,5351.484752099273
195000,4991.042726106641
196000,4909.751713208068
197000,5116.522223955209
198000,5026.347928350653
199000,5055.5625132369
200000,5070.876566643533
201000,5051.34229298755
202000,5567.284430873966
203000,5064.63221097925
204000,5307.545668018227
205000,5354.535078388295
206000,5223.110378330296
207000,5330.046576510557
208000,5744.47912827296
209000,5472.994844711752
210000,5384.8791372247
211000,5256.444497196838
212000,5452.342290718791
213000,5523.472947787864
214000,5341.697394005717
215000,5815.399082033459
216000,5782.52895080141
217000,5802.332940682324
218000,6063.267167135612
219000,5539.989128286801
220000,5842.054907789524
221000,5902.101382987734
222000,6050.198592079128
223000,5997.973749953067
224000,6229.218598147763
225000,5895.881467683771
226000,5648.897861021805
227000,6065.445081030966
228000,5972.881083601256
229000,5889.018454145684
230000,5983.31997944278
231000,6026.035630745923
232000,6092.459653055261
233000,6251.608491075745
234000,6257.733729317137
235000,6293.852125929297
236000,5884.055272622446
237000,6043.225002848411
238000,6268.689051982947
239000,6521.169449369539
240000,6052.153589405784
241000,6162.062045772266
242000,6192.725524997753
243000,6422.696267971445
244000,6557.870301370004
245000,6591.286963048146
246000,6201.095495797818
247000,6229.637253652376
248000,6213.880046699723
249000,6191.854879862645
250000,6307.18162979986
251000,6194.309421153242
252000,6714.357437352865
253000,6029.446389334796
254000,6391.1511863589785
255000,6521.111068848745
256000,6717.623497642246
257000,6808.0215191758225
258000,6670.024295601406
259000,6285.839769279079
260000,6385.185180852303
261000,6580.953446276351
262000,6163.684268292648
263000,6346.20063152766
264000,6511.476378838192
265000,6610.118667996355
266000,6558.842032385142
267000,6714.893011882525
268000,6388.225772282832
269000,6663.247161038975
270000,6851.284223748261
271000,6450.281501648328
272000,6475.770565615011
273000,6636.222332423938
274000,6585.58600162876
275000,6498.394944411279
276000,6462.725936526784
277000,6889.274344877493
278000,6517.078014707602
279000,6472.626801378775
280000,6293.152242338826
281000,6553.152566502394
282000,6528.0021975389955
283000,6703.289785284785
284000,6526.082791004803
285000,6713.96214024559
286000,6656.158204213438
287000,6685.796395253916
288000,6732.03254931225
289000,6664.396012209602
290000,6773.168321375484
291000,6406.515153685952
292000,6322.464280418724
293000,6637.422549424855
294000,6638.018247051053
295000,6432.389828536393
296000,6685.536768843422
297000,6630.724661532879
298000,6519.993637843544
299000,6791.223552512815
300000,6613.9176869327275
