Step,episode_reward
1000,-358.32357865017747
2000,-506.83844948015985
3000,-532.1208261136458
4000,-451.60652504235276
5000,-359.5573373724997
6000,-265.51434905318297
7000,-192.8242950920991
8000,-253.39445378548928
9000,-131.64314367387675
10000,86.76841961007014
11000,140.73008309694328
12000,275.6096929292606
13000,-12.410536696756276
14000,-57.85366448442054
15000,69.41044224868956
16000,314.420656696019
17000,1424.4463135907604
18000,1539.7854401761726
19000,1448.1524782522085
20000,1535.514838654783
21000,1607.028628232595
22000,1966.1770739390843
23000,2066.982272207205
24000,2234.299408060877
25000,1958.774021997761
26000,1894.6357330099097
27000,2139.3395914301504
28000,2262.81508466623
29000,1909.7594274375324
30000,2067.0148688201784
31000,1328.604789850654
32000,1762.665290419744
33000,1974.0505169107096
34000,2378.0337631142847
35000,2021.5206290354974
36000,2213.1007938565604
37000,2243.3333669352296
38000,1542.8965559760256
39000,2181.37660169722
40000,2539.8167152861547
41000,2412.250085436202
42000,2443.27406508009
43000,2335.539125499445
44000,572.7488313570448
45000,2455.9153078638424
46000,2113.8467695284753
47000,1493.97075227204
48000,2286.5210352875947
49000,2680.8592089682857
50000,2337.472772389986
51000,858.7503605230332
52000,-160.30778623689187
53000,2303.660380239756
54000,2561.5254901722105
55000,2420.478729831156
56000,2410.155252191934
57000,2587.9607279646443
58000,2554.382272847564
59000,2494.737980795396
60000,2601.7073701761474
61000,2730.9335190014735
62000,571.3028427207222
63000,2789.5177291911255
64000,2516.220277179483
65000,2867.9788412181915
66000,2741.1113443030167
67000,2975.029357433481
68000,3106.4631378074173
69000,3028.741925145524
70000,3118.1746557633496
71000,3177.3345601853603
72000,2973.603027274419
73000,3298.8904770568233
74000,3359.4629372690133
75000,3126.6054043759423
76000,3206.9750760611146
77000,3260.6132802166258
78000,3256.974666096315
79000,3095.7857049190943
80000,3299.3391200453943
81000,3490.0674333722104
82000,3455.5718023707586
83000,3394.5704316779556
84000,3516.3967983912344
85000,3616.911885928266
86000,3405.530387148262
87000,3401.171027845694
88000,3586.0043713236064
89000,3212.1648502899307
90000,3200.357046111251
91000,3555.689358500176
92000,3461.5333236796687
93000,3653.7417220171073
94000,3625.7267598234253
95000,3595.6715778450052
96000,788.4747452924453
